Stadt;machine_readable;West;Sued;Ost;Nord;RailModes;Geschwindigkeit;GTFS-Daten;Ignore_LineNumber
Wien;wien;"";"";"";"";tram;14.9;;
Graz;graz;"";"";"";"";tram;;https://data.mobilitaetsverbuende.at;
Innsbruck;innsbruck;"";"";"";"";tram;;https://data.mobilitaetsverbuende.at;
Linz;linz;"";"";"";"";;;https://data.mobilitaetsverbuende.at;
Gmunden;gmunden;13.77;47.90;14;48;;14;;
Berlin;berlin;12.7;52.2;14.1;52.9;tram;17.4;"";
Dresden;dresden;;;;;;;;
München;muenchen;11.16;48.01;11.95;48.30;tram;18.4;;
Nürnberg;nuernberg;;;;;;;https://www.vgn.de/opendata/GTFS.zip;
Leipzig;leipzig;;;;;;;;
Köln;koeln;;;;;;;http://download.vrsinfo.de/gtfs/GTFS_VRS_mit_SPNV.zip;
Stuttgart;stuttgart;;;;;;;;
Prag;prag;14;49.5;15;50.5;;19.37;;
Brno;brno;16.4;49.05;16.8;49.35;;;https://www.arcgis.com/sharing/rest/content/items/379d2e9a7907460c8ca7fda1f3e84328/data;
Budapest;budapest;"";"";"";"";;17.5;https://go.bkk.hu/api/static/v1/public-gtfs/budapest_gtfs.zip;
Mailand;mailand;"";"";"";"";;;https://dati.comune.milano.it/it/dataset/ds929-orari-del-trasporto-pubblico-locale-nel-comune-di-milano-in-formato-gtfs;
San Francisco;san_francisco;-123.2;37.5;-122.25;38;;;;
Bordeaux;bordeaux;;;;;;;https://datahub.bordeaux-metropole.fr/explore/dataset/offres-de-services-bus-tramway-gtfs/information/;
Lyon;lyon;;;;;;;https://transport.data.gouv.fr/datasets/horaires-theoriques-du-reseau-transports-en-commun-lyonnais/;
Helsinki;helsinki;;;;;;;https://www.hsl.fi/en/hsl/open-data;
Brüssel;bruessel;;;;;;;https://data.stib-mivb.brussels/explore/dataset/gtfs-files-production/export/;
Manchester;manchester;;;;;"";;;True
Amsterdam;amsterdam;;;;;;;;
Sankt Petersburg;sankt_petersburg;;;;;;;;
Göteborg;goeteborg;;;;;;;;
Basel;basel;;;;;;17.7;;
Zürich;zuerich;;;;;;;https://data.stadt-zuerich.ch/dataset/vbz_fahrplandaten_gtfs/download/2025_google_transit.zip;
Toronto;toronto;;;;;;;https://www.transit.land/feeds/f-dpz8-ttc;
Portland;portland;;;;;;;https://www.transit.land/feeds/f-c20-trimet;
Ulm;ulm;;;;;;21.5;;
Essen;essen;;;;;;21.5;;
Chemnitz;chemnitz;;;;;;20.6;;
Potsdam;potsdam;;;;;;20.4;;
Zwickau;zwickau;;;;;;20;;
Bremen;bremen;;;;;;19;;
Luxembourg;luxembourg;;;;;;18.3;;
Augsburg;augsburg;;;;;;18;;
Halle (Saale);halle_saale;;;;;;17.9;;
Krefeld;krefeld;;;;;;17.7;;
Bern;bern;;;;;;17.0;;
Rom;roma;;;;;;;https://dati.comune.roma.it/catalog/dataset/a7dadb4a-66ae-4eff-8ded-a102064702ba/resource/266d82e1-ba53-4510-8a81-370880c4678f/download/rome_static_gtfs.zip;
